Error Type,Topic Guid,Message
Warning,6a601501-a6a8-4559-b2e7-56b59c96a586,Found herf tag with an image in file:6a601501-a6a8-4559-b2e7-56b59c96a586.md total found:3
Warning,74aaade0-efc0-46ac-b949-f2d1d59256fa,Found herf tag with an image in file:74aaade0-efc0-46ac-b949-f2d1d59256fa.md total found:3
Warning,74aaade0-efc0-46ac-b949-f2d1d59256fa,Could not Add new line after images in md file:74aaade0-efc0-46ac-b949-f2d1d59256fa.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Found nested table in md file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Fixing missing end table tag in file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,78fe3147-1979-4c41-83bb-aeccf244368d,Found invalid tables saving file:78fe3147-1979-4c41-83bb-aeccf244368d.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found a an ul list inside a table in html file:7a150c84-049c-4a9c-8c91-22355b35f2a7.xml
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found nested table in md file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Fixing missing end table tag in file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Fixing missing end table tag in file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a150c84-049c-4a9c-8c91-22355b35f2a7,Found invalid tables saving file:7a150c84-049c-4a9c-8c91-22355b35f2a7.md
Warning,7a29260d-2959-42aa-8916-feceff6ee51d,Missing tables headers in file:7a29260d-2959-42aa-8916-feceff6ee51d.md
Warning,7acd33ce-1ec8-49fb-b625-43bac7b58c5a,Found a an ul list inside a table in html file:7acd33ce-1ec8-49fb-b625-43bac7b58c5a.xml
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Found nested table in md file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Fixing missing end table tag in file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82ac9922-939c-41be-9c8a-7c75b0a4e27d,Found invalid tables saving file:82ac9922-939c-41be-9c8a-7c75b0a4e27d.md
Warning,82c97bb4-2b64-4edc-804d-cedbda525d22,Could not Add new line after images in md file:82c97bb4-2b64-4edc-804d-cedbda525d22.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found a an ul list inside a table in html file:84a595b8-cd77-4f66-ac52-57a33ddd4773.xml
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Missing tables headers in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found nested table in md file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found invalid tables saving file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Could not Add new line after images in md file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,86f414ad-81de-4703-b40a-c6615bbe9108,Found a an ul list inside a table in html file:86f414ad-81de-4703-b40a-c6615bbe9108.xml
Warning,87496bc5-9601-4473-8021-cb05c71369c1,Found a an ul list inside a table in html file:87496bc5-9601-4473-8021-cb05c71369c1.xml
Warning,87496bc5-9601-4473-8021-cb05c71369c1,Could not Add new line after images in md file:87496bc5-9601-4473-8021-cb05c71369c1.md
Warning,88935b4e-dcb1-47f1-8aca-1bf8fb069db6,Found a an ul list inside a table in html file:88935b4e-dcb1-47f1-8aca-1bf8fb069db6.xml
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found a an ul list inside a table in html file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.xml
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found nested table in md file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found invalid tables saving file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Could not Add new line after images in md file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8d274fe3-db51-4107-ba64-865e7155b355,Found a an ul list inside a table in html file:8d274fe3-db51-4107-ba64-865e7155b355.xml
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Missing tables headers in file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Fixing missing end table tag in file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Found invalid tables saving file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Could not Add new line after images in md file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8f20ca4f-a908-46ec-99e6-9890d269ecf2,Found a an ul list inside a table in html file:8f20ca4f-a908-46ec-99e6-9890d269ecf2.xml
Warning,8f20ca4f-a908-46ec-99e6-9890d269ecf2,Missing tables headers in file:8f20ca4f-a908-46ec-99e6-9890d269ecf2.md
Warning,96deb75f-64e8-4c10-b570-84c99c674e15,Found nested table in md file:96deb75f-64e8-4c10-b570-84c99c674e15.md
Warning,96deb75f-64e8-4c10-b570-84c99c674e15,Could not Add new line after images in md file:96deb75f-64e8-4c10-b570-84c99c674e15.md
Warning,9701a024-c52e-43f0-b545-9a53478aec04,Could not Add new line after images in md file:9701a024-c52e-43f0-b545-9a53478aec04.md
Warning,978c3173-3578-4286-aaf4-8a10951978bf,Found a an ul list inside a table in html file:978c3173-3578-4286-aaf4-8a10951978bf.xml
Warning,978c3173-3578-4286-aaf4-8a10951978bf,Found nested table in md file:978c3173-3578-4286-aaf4-8a10951978bf.md
Warning,978c3173-3578-4286-aaf4-8a10951978bf,Fixing missing end table tag in file:978c3173-3578-4286-aaf4-8a10951978bf.md
Warning,978c3173-3578-4286-aaf4-8a10951978bf,Found invalid tables saving file:978c3173-3578-4286-aaf4-8a10951978bf.md
Warning,97e06a7a-ef9a-4ce8-baea-18b9e20449a3,Found nested table in md file:97e06a7a-ef9a-4ce8-baea-18b9e20449a3.md
Warning,9a00b9ea-33fd-4772-8ea6-9d3c65e829e6,Missing tables headers in file:9a00b9ea-33fd-4772-8ea6-9d3c65e829e6.md
Warning,9a00b9ea-33fd-4772-8ea6-9d3c65e829e6,Fixing missing end table tag in file:9a00b9ea-33fd-4772-8ea6-9d3c65e829e6.md
Warning,9a00b9ea-33fd-4772-8ea6-9d3c65e829e6,Found invalid tables saving file:9a00b9ea-33fd-4772-8ea6-9d3c65e829e6.md
Warning,9a00b9ea-33fd-4772-8ea6-9d3c65e829e6,Could not Add new line after images in md file:9a00b9ea-33fd-4772-8ea6-9d3c65e829e6.md
Warning,9b7daf19-d5f2-415b-bc43-a0f5f4a585e8,Could not Add new line after images in md file:9b7daf19-d5f2-415b-bc43-a0f5f4a585e8.md
Warning,a2a4b352-442a-49f2-be77-a1244d68de8f,Could not Add new line after images in md file:a2a4b352-442a-49f2-be77-a1244d68de8f.md
Warning,a85e1c87-a48e-4715-bfa9-d5275cde67b0,Found nested table in md file:a85e1c87-a48e-4715-bfa9-d5275cde67b0.md
Warning,a85e1c87-a48e-4715-bfa9-d5275cde67b0,Fixing missing end table tag in file:a85e1c87-a48e-4715-bfa9-d5275cde67b0.md
Warning,a85e1c87-a48e-4715-bfa9-d5275cde67b0,Fixing missing end table tag in file:a85e1c87-a48e-4715-bfa9-d5275cde67b0.md
Warning,a85e1c87-a48e-4715-bfa9-d5275cde67b0,Fixing missing end table tag in file:a85e1c87-a48e-4715-bfa9-d5275cde67b0.md
Warning,a85e1c87-a48e-4715-bfa9-d5275cde67b0,Found invalid tables saving file:a85e1c87-a48e-4715-bfa9-d5275cde67b0.md
Warning,a8bdcbdd-9298-462f-b889-df26037a990c,Could not Add new line after images in md file:a8bdcbdd-9298-462f-b889-df26037a990c.md
Warning,a9951a07-10b3-48cb-b37a-0ffaa24931ad,Could not Add new line after images in md file:a9951a07-10b3-48cb-b37a-0ffaa24931ad.md
Warning,aaca8987-5b62-458b-9882-c28476a66918,Found nested table in md file:aaca8987-5b62-458b-9882-c28476a66918.md
Warning,af398293-c69d-465e-a249-d74561552d30,Could not Add new line after images in md file:af398293-c69d-465e-a249-d74561552d30.md
Warning,b5e1471c-1ad6-4bc5-9e75-ce791aee283c,Found a an ul list inside a table in html file:b5e1471c-1ad6-4bc5-9e75-ce791aee283c.xml
Warning,bdd5372d-775e-4442-9c1b-609627b94b5d,Found nested table in md file:bdd5372d-775e-4442-9c1b-609627b94b5d.md
Warning,bdd5372d-775e-4442-9c1b-609627b94b5d,Fixing missing end table tag in file:bdd5372d-775e-4442-9c1b-609627b94b5d.md
Warning,bdd5372d-775e-4442-9c1b-609627b94b5d,Found invalid tables saving file:bdd5372d-775e-4442-9c1b-609627b94b5d.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Found nested table in md file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Fixing missing end table tag in file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Fixing missing end table tag in file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Fixing missing end table tag in file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Found invalid tables saving file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b,Could not Add new line after images in md file:bdee24ed-b8cf-4dd0-92ae-b86ec4661e6b.md
Warning,bed936bc-0969-4a6d-a7a5-66305c14e958,Missing tables headers in file:bed936bc-0969-4a6d-a7a5-66305c14e958.md
Warning,bed936bc-0969-4a6d-a7a5-66305c14e958,Found nested table in md file:bed936bc-0969-4a6d-a7a5-66305c14e958.md
Warning,bed936bc-0969-4a6d-a7a5-66305c14e958,Could not Add new line after images in md file:bed936bc-0969-4a6d-a7a5-66305c14e958.md
Warning,c0d87cbe-6d65-4c03-88ad-5216ea5564e8,Found a an ul list inside a table in html file:c0d87cbe-6d65-4c03-88ad-5216ea5564e8.xml
Warning,c0d87cbe-6d65-4c03-88ad-5216ea5564e8,Fixing missing end table tag in file:c0d87cbe-6d65-4c03-88ad-5216ea5564e8.md
Warning,c0d87cbe-6d65-4c03-88ad-5216ea5564e8,Found invalid tables saving file:c0d87cbe-6d65-4c03-88ad-5216ea5564e8.md
Warning,c2e588d3-8f4f-4937-a286-8c399f28953a,Found a an ul list inside a table in html file:c2e588d3-8f4f-4937-a286-8c399f28953a.xml
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Found a an ul list inside a table in html file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.xml
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Missing tables headers in file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Found nested table in md file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Fixing missing end table tag in file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Fixing missing end table tag in file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Fixing missing end table tag in file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,c4639c2e-7223-4302-8e0d-b6e10f1c3be3,Found invalid tables saving file:c4639c2e-7223-4302-8e0d-b6e10f1c3be3.md
Warning,cca08d26-6fbf-4b2c-b102-b226e4cd7381,Found nested table in md file:cca08d26-6fbf-4b2c-b102-b226e4cd7381.md
Warning,ce004100-9e7f-443e-942b-9b04098fcfc3,Found a an ul list inside a table in html file:ce004100-9e7f-443e-942b-9b04098fcfc3.xml
Warning,ce9eb942-3589-42cb-88fd-1576ecb09c5c,Found nested table in md file:ce9eb942-3589-42cb-88fd-1576ecb09c5c.md
Warning,ce9eb942-3589-42cb-88fd-1576ecb09c5c,Could not Add new line after images in md file:ce9eb942-3589-42cb-88fd-1576ecb09c5c.md
Warning,d10608af-7934-490a-818e-e68f17d0e9c1,Found a an ul list inside a table in html file:d10608af-7934-490a-818e-e68f17d0e9c1.xml
Warning,d10608af-7934-490a-818e-e68f17d0e9c1,Found nested table in md file:d10608af-7934-490a-818e-e68f17d0e9c1.md
Warning,d10608af-7934-490a-818e-e68f17d0e9c1,Fixing missing end table tag in file:d10608af-7934-490a-818e-e68f17d0e9c1.md
Warning,d10608af-7934-490a-818e-e68f17d0e9c1,Fixing missing end table tag in file:d10608af-7934-490a-818e-e68f17d0e9c1.md
Warning,d10608af-7934-490a-818e-e68f17d0e9c1,Found invalid tables saving file:d10608af-7934-490a-818e-e68f17d0e9c1.md
Warning,d1691de4-ca0d-446f-a0d0-373a4fc8487b,Found nested table in md file:d1691de4-ca0d-446f-a0d0-373a4fc8487b.md
Warning,d1691de4-ca0d-446f-a0d0-373a4fc8487b,Fixing missing end table tag in file:d1691de4-ca0d-446f-a0d0-373a4fc8487b.md
Warning,d1691de4-ca0d-446f-a0d0-373a4fc8487b,Found invalid tables saving file:d1691de4-ca0d-446f-a0d0-373a4fc8487b.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Missing tables headers in file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Fixing missing end table tag in file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Fixing missing end table tag in file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Fixing missing end table tag in file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Fixing missing end table tag in file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,d24bb387-c65d-486e-93e7-06a4f1a436c0,Found invalid tables saving file:d24bb387-c65d-486e-93e7-06a4f1a436c0.md
Warning,da21c0b6-e8f0-4cc8-af2e-5029a9433d59,Found herf tag with an image in file:da21c0b6-e8f0-4cc8-af2e-5029a9433d59.md total found:3
Warning,dc4f704c-6fcc-4cab-9a02-95a824e4fb57,Found a an ul list inside a table in html file:dc4f704c-6fcc-4cab-9a02-95a824e4fb57.xml
Warning,dd6a1fef-ec4a-4cf4-a25a-bb591c5811e3,Missing tables headers in file:dd6a1fef-ec4a-4cf4-a25a-bb591c5811e3.md
Warning,e2a789f2-9962-4960-9fd4-a00aa063559e,Found nested table in md file:e2a789f2-9962-4960-9fd4-a00aa063559e.md
Warning,e3cbc79c-5e97-43d3-8371-9fbc398cd92e,Could not Add new line after images in md file:e3cbc79c-5e97-43d3-8371-9fbc398cd92e.md
Warning,e86fc991-0161-4f01-9c1c-d25e87733d06,Found a an ul list inside a table in html file:e86fc991-0161-4f01-9c1c-d25e87733d06.xml
Warning,e893b19a-660c-41f2-9074-d3631c95a014,Found nested table in md file:e893b19a-660c-41f2-9074-d3631c95a014.md
Warning,ec3587e4-7b4a-40fb-8fb8-8aa05aeae2ce,Found a an ul list inside a table in html file:ec3587e4-7b4a-40fb-8fb8-8aa05aeae2ce.xml
Warning,ec3587e4-7b4a-40fb-8fb8-8aa05aeae2ce,Could not Add new line after images in md file:ec3587e4-7b4a-40fb-8fb8-8aa05aeae2ce.md
Warning,f5caf497-5e8d-4b7a-bfff-d02942f38150,Found nested table in md file:f5caf497-5e8d-4b7a-bfff-d02942f38150.md
Warning,f5caf497-5e8d-4b7a-bfff-d02942f38150,Could not Add new line after images in md file:f5caf497-5e8d-4b7a-bfff-d02942f38150.md
Warning,f6cd6588-f6b6-424a-a9ab-3782b842faee,Could not Add new line after images in md file:f6cd6588-f6b6-424a-a9ab-3782b842faee.md
Warning,f87cb016-7876-4317-ae3c-9169b311ff8a,Missing tables headers in file:f87cb016-7876-4317-ae3c-9169b311ff8a.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Fixing missing end table tag in file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4,Found invalid tables saving file:fc4e6ebb-5acc-4bc5-bad8-4f3407d1d3f4.md
Warning,fd505979-76be-4d9f-b459-abef3fc9e86b,Found a an ul list inside a table in html file:fd505979-76be-4d9f-b459-abef3fc9e86b.xml
Warning,fd505979-76be-4d9f-b459-abef3fc9e86b,Found nested table in md file:fd505979-76be-4d9f-b459-abef3fc9e86b.md

